dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,AT-GTFS,agency,agency_id,,string,50,PRIMARY KEY,,,
mysql,AT-GTFS,agency,agency_phone,,string,50,,,,
mysql,AT-GTFS,agency,agency_url,,string,50,NOT NULL,,,
mysql,AT-GTFS,agency,agency_name,,string,50,NOT NULL,,,
mysql,AT-GTFS,agency,agency_timezone,,string,50,NOT NULL,,,
mysql,AT-GTFS,agency,agency_lang,,string,50,,,,
mysql,AT-GTFS,calendar,service_id,,string,50,PRIMARY KEY,,,
mysql,AT-GTFS,calendar,start_date,,date,10,,,,
mysql,AT-GTFS,calendar,end_date,,date,10,,,,
mysql,AT-GTFS,calendar,monday,,integer,1,NOT NULL,,,
mysql,AT-GTFS,calendar,tuesday,,integer,1,NOT NULL,,,
mysql,AT-GTFS,calendar,wednesday,,integer,1,NOT NULL,,,
mysql,AT-GTFS,calendar,thursday,,integer,1,NOT NULL,,,
mysql,AT-GTFS,calendar,friday,,integer,1,NOT NULL,,,
mysql,AT-GTFS,calendar,saturday,,integer,1,NOT NULL,,,
mysql,AT-GTFS,calendar,sunday,,integer,1,NOT NULL,,,
mysql,AT-GTFS,calendar_dates,service_id,,string,50,NOT NULL,,calendar,service_id
mysql,AT-GTFS,calendar_dates,date,,date,10,NOT NULL,,,
mysql,AT-GTFS,calendar_dates,exception_type,,integer,1,NOT NULL,,,
mysql,AT-GTFS,feed_info,feed_publisher_name,,string,50,,,,
mysql,AT-GTFS,feed_info,feed_publisher_url,,string,50,,,,
mysql,AT-GTFS,feed_info,feed_lang,,string,50,,,,
mysql,AT-GTFS,feed_info,feed_start_date,,string,50,,,,
mysql,AT-GTFS,feed_info,feed_end_date,,string,50,,,,
mysql,AT-GTFS,routes,route_id,,string,50,PRIMARY KEY,,,
mysql,AT-GTFS,routes,route_short_name,,string,50,,,,
mysql,AT-GTFS,routes,route_long_name,,string,50,,,,
mysql,AT-GTFS,routes,route_type,,integer,2,NOT NULL,,,
mysql,AT-GTFS,routes,route_text_color,,string,10,,,,
mysql,AT-GTFS,routes,agency_id,,string,50,,,agency,agency_id
mysql,AT-GTFS,routes,route_color,,string,10,,,,
mysql,AT-GTFS,shapes,shape_id,,string,50,PRIMARY KEY,,,
mysql,AT-GTFS,shapes,shape_pt_lat,,latitude,20,,,,
mysql,AT-GTFS,shapes,shape_pt_lon,,longitude,20,,,,
mysql,AT-GTFS,shapes,shape_pt_sequence,,integer,20,,,,
mysql,AT-GTFS,shapes,shape_dist_traveled,,float,20,,,,
mysql,AT-GTFS,stop_info,main_stop,,integer,20,,,,
mysql,AT-GTFS,stop_info,stop_id,,string,50,,,stops,stop_id
mysql,AT-GTFS,stop_times,trip_id,,string,50,,,trips,trip_id
mysql,AT-GTFS,stop_times,stop_id,,string,50,NOT NULL,,stops,stop_id
mysql,AT-GTFS,stop_times,arrival_time,,datetime,50,,,,
mysql,AT-GTFS,stop_times,departure_time,,datetime,50,,,,
mysql,AT-GTFS,stop_times,stop_sequence,,integer,10,NOT NULL,,,
mysql,AT-GTFS,stop_times,stop_headsign,,string,50,,,,
mysql,AT-GTFS,stop_times,pickup_type,,integer,1,,,,
mysql,AT-GTFS,stop_times,drop_off_type,,integer,1,,,,
mysql,AT-GTFS,stop_times,shape_dist_traveled,,float,20,,,,
mysql,AT-GTFS,stops,stop_id,,string,50,PRIMARY KEY,,,
mysql,AT-GTFS,stops,stop_code,,string,50,,,,
mysql,AT-GTFS,stops,stop_name,,string,50,,,,
mysql,AT-GTFS,stops,stop_desc,,string,50,,,,
mysql,AT-GTFS,stops,stop_lat,,latitude,20,,,,
mysql,AT-GTFS,stops,stop_lon,,longitude,20,,,,
mysql,AT-GTFS,stops,parent_station,,string,50,,,stops,stop_id
mysql,AT-GTFS,stops,location_type,,integer,1,,,,
mysql,AT-GTFS,stops,zone_id,,string,50,,,,
mysql,AT-GTFS,trips,trip_id,,string,50,PRIMARY KEY,,,
mysql,AT-GTFS,trips,trip_headsign,,string,50,,,,
mysql,AT-GTFS,trips,route_id,,string,50,NOT NULL,,routes,route_id
mysql,AT-GTFS,trips,block_id,,string,50,,,,
mysql,AT-GTFS,trips,direction_id,,integer,1,,,,
mysql,AT-GTFS,trips,shape_id,,string,50,,,shapes,shape_id
mysql,AT-GTFS,trips,service_id,,string,50,NOT NULL,,calendar,service_id
mysql,AT-GTFS,vehicle_positions,vehicle_id,,string,50,PRIMARY KEY,,,
mysql,AT-GTFS,vehicle_positions,vehicle_lat,,float,20,,,,
mysql,AT-GTFS,vehicle_positions,vehicle_lon,,float,20,,,,
mysql,AT-GTFS,vehicle_positions,vehicle_bearing,,float,20,,,,
mysql,AT-GTFS,vehicle_positions,vehicle_speed,,float,20,,,,
mysql,AT-GTFS,vehicle_positions,vehicle_timestamp,,datetime,50,,,,
mysql,AT-GTFS,vehicle_positions,trip_id,,string,50,,,trips,trip_id
mysql,AT-GTFS,vehicle_positions,route_id,,string,50,,,routes,route_id
mysql,AT-GTFS,vehicle_positions,direction_id,,integer,1,,,,